Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Custom field (Customer Name),Custom field (Customer User ID),Custom field (Department/Faculty),Time Spent,Component/s,Component/s,Due Date
,ITRC-84,,,T84,,,,,,,,,,,,,,
,ITRC-85,,,T85,,,,,,,,,,,,,,
,ITRC-86,,,T86,,,,,,,,,,,,,,
,ITRC-87,,,T87,,,,,,,,,,,,,,
,ITRC-88,,,T88,,,,,,,,,,,,,,
,ITRC-89,,,T89,,,,,,,,,,,,,,
,ITRC-90,,,T90,,,,,,,,,,,,,,
,ITRC-91,,,T91,,,,,,,,,,,,,,
,ITRC-92,,,T92,,,,,,,,,,,,,,
,ITRC-93,,,T93,,,,,,,,,,,,,,
,ITRC-94,,,T94,,,,,,,,,,,,,,
,ITRC-95,,,T95,,,,,,,,,,,,,,
,ITRC-96,,,T96,,,,,,,,,,,,,,
,ITRC-97,,,T97,,,,,,,,,,,,,,
,ITRC-98,,,T98,,,,,,,,,,,,,,
,ITRC-99,,,T99,,,,,,,,,,,,,,
,ITRC-100,,,T100,,,,,,,,,,,,,,
,ITRC-101,,,T101,,,,,,,,,,,,,,
,ITRC-102,,,T102,,,,,,,,,,,,,,
,ITRC-103,,,T103,,,,,,,,,,,,,,
,ITRC-104,,,T104,,,,,,,,,,,,,,
,ITRC-105,,,T105,,,,,,,,,,,,,,
,ITRC-106,,,T106,,,,,,,,,,,,,,
,ITRC-107,,,T107,,,,,,,,,,,,,,
,ITRC-108,,,T108,,,,,,,,,,,,,,
,ITRC-109,,,T109,,,,,,,,,,,,,,
,ITRC-110,,,T110,,,,,,,,,,,,,,
,ITRC-111,,,T111,,,,,,,,,,,,,,
,ITRC-112,,,T112,,,,,,,,,,,,,,
,ITRC-113,,,T113,,,,,,,,,,,,,,
,ITRC-114,,,T114,,,,,,,,,,,,,,
,ITRC-115,,,T115,,,,,,,,,,,,,,
,ITRC-116,,,T116,,,,,,,,,,,,,,
,ITRC-117,,,T117,,,,,,,,,,,,,,
,ITRC-118,,,T118,,,,,,,,,,,,,,
,ITRC-119,,,T119,,,,,,,,,,,,,,
,ITRC-120,,,T120,,,,,,,,,,,,,,
,ITRC-121,,,T121,,,,,,,,,,,,,,
,ITRC-122,,,T122,,,,,,,,,,,,,,
,ITRC-123,,,T123,,,,,,,,,,,,,,
,ITRC-124,,,T124,,,,,,,,,,,,,,
,ITRC-125,,,T125,,,,,,,,,,,,,,
,ITRC-126,,,T126,,,,,,,,,,,,,,
,ITRC-127,,,T127,,,,,,,,,,,,,,
,ITRC-128,,,T128,,,,,,,,,,,,,,
,ITRC-129,,,T129,,,,,,,,,,,,,,
,ITRC-130,,,T130,,,,,,,,,,,,,,
,ITRC-131,,,T131,,,,,,,,,,,,,,
,ITRC-132,,,T132,,,,,,,,,,,,,,
,ITRC-133,,,T133,,,,,,,,,,,,,,
,ITRC-134,,,T134,,,,,,,,,,,,,,
,ITRC-135,,,T135,,,,,,,,,,,,,,
,ITRC-136,,,T136,,,,,,,,,,,,,,
,ITRC-137,,,T137,,,,,,,,,,,,,,
,ITRC-138,,,T138,,,,,,,,,,,,,,
,ITRC-139,,,T139,,,,,,,,,,,,,,
,ITRC-140,,,T140,,,,,,,,,,,,,,
,ITRC-141,,,T141,,,,,,,,,,,,,,
,ITRC-142,,,T142,,,,,,,,,,,,,,
,ITRC-143,,,T143,,,,,,,,,,,,,,
,ITRC-144,,,T144,,,,,,,,,,,,,,
,ITRC-145,,,T145,,,,,,,,,,,,,,
,ITRC-146,,,T146,,,,,,,,,,,,,,
,ITRC-147,,,T147,,,,,,,,,,,,,,
,ITRC-148,,,T148,,,,,,,,,,,,,,
,ITRC-149,,,T149,,,,,,,,,,,,,,
,ITRC-150,,,T150,,,,,,,,,,,,,,
,ITRC-151,,,T151,,,,,,,,,,,,,,
,ITRC-152,,,T152,,,,,,,,,,,,,,
,ITRC-153,,,T153,,,,,,,,,,,,,,
,ITRC-154,,,T154,,,,,,,,,,,,,,
,ITRC-155,,,T155,,,,,,,,,,,,,,
,ITRC-156,,,T156,,,,,,,,,,,,,,
,ITRC-157,,,T157,,,,,,,,,,,,,,
,ITRC-158,,,T158,,,,,,,,,,,,,,
,ITRC-159,,,T159,,,,,,,,,,,,,,
,ITRC-160,,,T160,,,,,,,,,,,,,,
,ITRC-161,,,T161,,,,,,,,,,,,,,
,ITRC-162,,,T162,,,,,,,,,,,,,,
,ITRC-163,,,T163,,,,,,,,,,,,,,
,ITRC-164,,,T164,,,,,,,,,,,,,,
,ITRC-165,,,T165,,,,,,,,,,,,,,
,ITRC-166,,,T166,,,,,,,,,,,,,,
,ITRC-167,,,T167,,,,,,,,,,,,,,
,ITRC-168,,,T168,,,,,,,,,,,,,,
,ITRC-169,,,T169,,,,,,,,,,,,,,
,ITRC-170,,,T170,,,,,,,,,,,,,,
,ITRC-171,,,T171,,,,,,,,,,,,,,
,ITRC-172,,,T172,,,,,,,,,,,,,,
,ITRC-173,,,T173,,,,,,,,,,,,,,
,ITRC-174,,,T174,,,,,,,,,,,,,,
,ITRC-175,,,T175,,,,,,,,,,,,,,
,ITRC-176,,,T176,,,,,,,,,,,,,,
,ITRC-177,,,T177,,,,,,,,,,,,,,
,ITRC-178,,,T178,,,,,,,,,,,,,,
,ITRC-179,,,T179,,,,,,,,,,,,,,
,ITRC-180,,,T180,,,,,,,,,,,,,,
,ITRC-181,,,T181,,,,,,,,,,,,,,
,ITRC-182,,,T182,,,,,,,,,,,,,,
,ITRC-183,,,T183,,,,,,,,,,,,,,
,ITRC-184,,,T184,,,,,,,,,,,,,,
,ITRC-185,,,T185,,,,,,,,,,,,,,
,ITRC-186,,,T186,,,,,,,,,,,,,,
,ITRC-187,,,T187,,,,,,,,,,,,,,
,ITRC-188,,,T188,,,,,,,,,,,,,,
,ITRC-189,,,T189,,,,,,,,,,,,,,
,ITRC-190,,,T190,,,,,,,,,,,,,,
,ITRC-191,,,T191,,,,,,,,,,,,,,
,ITRC-192,,,T192,,,,,,,,,,,,,,
,ITRC-193,,,T193,,,,,,,,,,,,,,
,ITRC-194,,,T194,,,,,,,,,,,,,,
,ITRC-195,,,T195,,,,,,,,,,,,,,
,ITRC-196,,,T196,,,,,,,,,,,,,,
,ITRC-197,,,T197,,,,,,,,,,,,,,
,ITRC-198,,,T198,,,,,,,,,,,,,,
,ITRC-199,,,T199,,,,,,,,,,,,,,
,ITRC-200,,,T200,,,,,,,,,,,,,,
,ITRC-201,,,T201,,,,,,,,,,,,,,
,ITRC-202,,,T202,,,,,,,,,,,,,,
,ITRC-203,,,T203,,,,,,,,,,,,,,
,ITRC-204,,,T204,,,,,,,,,,,,,,
,ITRC-205,,,T205,,,,,,,,,,,,,,
,ITRC-206,,,T206,,,,,,,,,,,,,,
,ITRC-207,,,T207,,,,,,,,,,,,,,
,ITRC-208,,,T208,,,,,,,,,,,,,,
,ITRC-209,,,T209,,,,,,,,,,,,,,
,ITRC-210,,,T210,,,,,,,,,,,,,,
,ITRC-211,,,T211,,,,,,,,,,,,,,
,ITRC-212,,,T212,,,,,,,,,,,,,,
,ITRC-213,,,T213,,,,,,,,,,,,,,
,ITRC-214,,,T214,,,,,,,,,,,,,,
,ITRC-215,,,T215,,,,,,,,,,,,,,
,ITRC-216,,,T216,,,,,,,,,,,,,,
,ITRC-217,,,T217,,,,,,,,,,,,,,
,ITRC-218,,,T218,,,,,,,,,,,,,,
,ITRC-219,,,T219,,,,,,,,,,,,,,
,ITRC-220,,,T220,,,,,,,,,,,,,,
,ITRC-221,,,T221,,,,,,,,,,,,,,
,ITRC-222,,,T222,,,,,,,,,,,,,,
,ITRC-223,,,T223,,,,,,,,,,,,,,
,ITRC-224,,,T224,,,,,,,,,,,,,,
,ITRC-225,,,T225,,,,,,,,,,,,,,
,ITRC-226,,,T226,,,,,,,,,,,,,,
,ITRC-227,,,T227,,,,,,,,,,,,,,
,ITRC-228,,,T228,,,,,,,,,,,,,,
,ITRC-229,,,T229,,,,,,,,,,,,,,
,ITRC-230,,,T230,,,,,,,,,,,,,,
,ITRC-231,,,T231,,,,,,,,,,,,,,
,ITRC-232,,,T232,,,,,,,,,,,,,,
,ITRC-233,,,T233,,,,,,,,,,,,,,
,ITRC-234,,,T234,,,,,,,,,,,,,,
,ITRC-235,,,T235,,,,,,,,,,,,,,
,ITRC-236,,,T236,,,,,,,,,,,,,,
,ITRC-237,,,T237,,,,,,,,,,,,,,
,ITRC-238,,,T238,,,,,,,,,,,,,,
,ITRC-239,,,T239,,,,,,,,,,,,,,
,ITRC-240,,,T240,,,,,,,,,,,,,,
,ITRC-241,,,T241,,,,,,,,,,,,,,
,ITRC-242,,,T242,,,,,,,,,,,,,,
,ITRC-243,,,T243,,,,,,,,,,,,,,
,ITRC-244,,,T244,,,,,,,,,,,,,,
,ITRC-245,,,T245,,,,,,,,,,,,,,
,ITRC-246,,,T246,,,,,,,,,,,,,,
,ITRC-247,,,T247,,,,,,,,,,,,,,
,ITRC-248,,,T248,,,,,,,,,,,,,,
,ITRC-249,,,T249,,,,,,,,,,,,,,
,ITRC-250,,,T250,,,,,,,,,,,,,,
,ITRC-251,,,T251,,,,,,,,,,,,,,
,ITRC-252,,,T252,,,,,,,,,,,,,,
,ITRC-253,,,T253,,,,,,,,,,,,,,
,ITRC-254,,,T254,,,,,,,,,,,,,,
,ITRC-255,,,T255,,,,,,,,,,,,,,
,ITRC-256,,,T256,,,,,,,,,,,,,,
,ITRC-257,,,T257,,,,,,,,,,,,,,
,ITRC-258,,,T258,,,,,,,,,,,,,,
,ITRC-259,,,T259,,,,,,,,,,,,,,
,ITRC-260,,,T260,,,,,,,,,,,,,,
,ITRC-261,,,T261,,,,,,,,,,,,,,
,ITRC-262,,,T262,,,,,,,,,,,,,,
,ITRC-263,,,T263,,,,,,,,,,,,,,
,ITRC-264,,,T264,,,,,,,,,,,,,,
,ITRC-265,,,T265,,,,,,,,,,,,,,
,ITRC-266,,,T266,,,,,,,,,,,,,,
,ITRC-267,,,T267,,,,,,,,,,,,,,
,ITRC-268,,,T268,,,,,,,,,,,,,,
,ITRC-269,,,T269,,,,,,,,,,,,,,
,ITRC-270,,,T270,,,,,,,,,,,,,,
,ITRC-271,,,T271,,,,,,,,,,,,,,
,ITRC-272,,,T272,,,,,,,,,,,,,,
,ITRC-273,,,T273,,,,,,,,,,,,,,
,ITRC-274,,,T274,,,,,,,,,,,,,,
,ITRC-275,,,T275,,,,,,,,,,,,,,
,ITRC-276,,,T276,,,,,,,,,,,,,,
,ITRC-277,,,T277,,,,,,,,,,,,,,
,ITRC-278,,,T278,,,,,,,,,,,,,,
,ITRC-279,,,T279,,,,,,,,,,,,,,
,ITRC-280,,,T280,,,,,,,,,,,,,,
,ITRC-281,,,T281,,,,,,,,,,,,,,
,ITRC-282,,,T282,,,,,,,,,,,,,,
,ITRC-283,,,T283,,,,,,,,,,,,,,
,ITRC-284,,,T284,,,,,,,,,,,,,,
,ITRC-285,,,T285,,,,,,,,,,,,,,
,ITRC-286,,,T286,,,,,,,,,,,,,,
,ITRC-287,,,T287,,,,,,,,,,,,,,
,ITRC-288,,,T288,,,,,,,,,,,,,,
,ITRC-289,,,T289,,,,,,,,,,,,,,
,ITRC-290,,,T290,,,,,,,,,,,,,,
,ITRC-291,,,T291,,,,,,,,,,,,,,
,ITRC-292,,,T292,,,,,,,,,,,,,,
,ITRC-293,,,T293,,,,,,,,,,,,,,
,ITRC-294,,,T294,,,,,,,,,,,,,,
,ITRC-295,,,T295,,,,,,,,,,,,,,
,ITRC-296,,,T296,,,,,,,,,,,,,,
,ITRC-297,,,T297,,,,,,,,,,,,,,
,ITRC-298,,,T298,,,,,,,,,,,,,,
,ITRC-299,,,T299,,,,,,,,,,,,,,
,ITRC-300,,,T300,,,,,,,,,,,,,,
,ITRC-301,,,T301,,,,,,,,,,,,,,
,ITRC-302,,,T302,,,,,,,,,,,,,,
,ITRC-303,,,T303,,,,,,,,,,,,,,
